failed_logins,packet_rate,session_time,label
1,516,128.41,0
12,1176,402.24,1
10,807,4.36,1
13,1224,2.31,1
0,338,292.76,0
0,344,194.69,0
3,182,283.86,0
2,267,62.23,0
0,141,138.31,0
0,252,47.97,0
11,819,530.38,1
6,1719,500.13,1
2,190,167.3,0
0,300,66.12,0
6,1978,7.63,1
6,1735,559.76,1
0,148,295.03,0
3,339,179.81,0
1,420,264.24,0
13,1878,489.2,1
0,411,183.94,0
2,271,286.31,0
13,1749,512.18,1
14,1812,2.25,1
13,1922,6.72,1
3,268,206.72,0
1,447,52.25,0
1,178,155.35,0
2,359,236.4,0
1,201,158.16,0
0,255,240.47,0
1,343,199.11,0
0,570,260.61,0
8,1260,8.81,1
10,1376,577.21,1
0,141,233.47,0
1,594,41.74,0
2,503,182.69,0
0,112,54.06,0
0,122,101.7,0
14,1571,478.15,1
3,384,97.06,0
2,123,207.33,0
12,1068,522.67,1
5,2003,9.09,1
0,198,268.54,0
0,351,234.16,0
0,168,154.87,0
9,932,491.0,1
2,360,291.4,0
3,274,213.75,0
11,1942,3.09,1
2,266,263.28,0
2,467,271.64,0
2,565,179.77,0
1,114,229.51,0
1,387,107.56,0
1,331,218.73,0
12,1028,593.75,1
0,589,260.1,0
1,473,212.07,0
0,172,274.0,0
1,213,51.65,0
0,601,128.75,0
8,1019,3.79,1
11,1144,4.29,1
2,465,32.93,0
10,863,1.36,1
2,186,284.5,0
5,1905,3.71,1
0,446,147.6,0
0,165,166.51,0
1,161,276.52,0
5,1220,4.52,1
0,546,74.6,0
2,370,115.22,0
3,579,213.59,0
0,442,246.21,0
0,129,235.07,0
9,1264,544.78,1
9,1086,418.72,1
3,555,294.87,0
3,226,195.57,0
2,527,94.59,0
0,555,110.4,0
1,268,267.07,0
9,1226,498.15,1
9,839,9.32,1
2,533,277.85,0
0,315,33.65,0
7,1532,574.0,1
2,388,250.37,0
3,493,116.07,0
1,298,268.47,0
2,155,198.01,0
0,232,246.06,0
12,1582,5.44,1
0,232,190.95,0
3,263,172.35,0
0,275,157.57,0
5,1890,2.62,1
3,115,137.45,0
0,183,80.68,0
8,1004,3.95,1
2,169,141.83,0
0,438,207.73,0
14,1555,571.85,1
2,114,109.71,0
7,1848,9.74,1
0,554,194.86,0
3,485,221.64,0
2,564,88.84,0
2,201,68.19,0
3,169,73.24,0
0,566,70.92,0
15,1129,5.89,1
2,432,173.51,0
3,231,89.39,0
1,126,48.13,0
1,266,142.07,0
2,395,142.81,0
0,393,83.07,0
6,1488,1.23,1
1,519,189.37,0
3,338,198.01,0
10,1048,4.31,1
3,166,47.79,0
15,1118,8.83,1
7,1186,413.1,1
1,387,183.22,0
1,388,253.33,0
0,564,268.08,0
5,1474,504.94,1
0,479,157.86,0
2,405,50.67,0
12,1125,7.81,1
8,1115,7.42,1
0,242,77.81,0
0,284,62.66,0
4,1922,579.68,1
2,326,144.55,0
12,1883,5.44,1
1,220,193.96,0
0,161,190.08,0
0,504,170.34,0
0,583,292.84,0
3,432,126.89,0
2,163,151.9,0
0,566,226.18,0
0,284,151.5,0
5,1497,9.51,1
0,107,243.43,0
1,536,254.01,0
0,98,156.09,0
0,194,78.39,0
2,321,291.46,0
0,372,99.75,0
2,431,138.06,0
11,1980,452.87,1
2,297,136.58,0
0,229,253.77,0
3,298,250.14,0
0,200,196.49,0
2,304,207.67,0
2,171,130.71,0
2,410,73.37,0
0,309,94.67,0
13,892,9.61,1
0,197,163.78,0
7,1590,483.09,1
1,278,51.51,0
2,191,253.42,0
0,480,240.19,0
1,521,67.55,0
1,334,279.81,0
4,822,477.71,1
10,1774,487.93,1
0,311,160.55,0
5,824,522.12,1
4,1912,9.48,1
2,266,90.38,0
1,413,80.47,0
3,172,57.3,0
10,1415,598.9,1
0,435,184.9,0
12,1350,557.9,1
5,1248,438.47,1
3,142,221.67,0
0,422,80.78,0
2,148,65.45,0
10,1560,444.46,1
3,438,203.81,0
1,180,152.07,0
11,1874,438.31,1
1,442,247.69,0
2,188,82.3,0
5,1626,539.42,1
14,1367,5.4,1
1,156,140.05,0
2,260,116.13,0
1,211,128.77,0
1,396,245.04,0
12,1129,521.4,1
12,1485,2.64,1
13,820,534.53,1
0,398,114.96,0
0,392,53.64,0
14,992,439.67,1
0,583,170.16,0
12,1771,438.7,1
2,241,208.7,0
0,278,32.37,0
14,1494,8.67,1
2,485,136.58,0
10,1519,501.77,1
15,1550,435.94,1
